piece_cid,piece_size,signed_url,car_size
baga6ea4seaqkczaqftes2suvjnakntpxwtxutifqp23bl32fz2lcoedqt4ilgca,4194304,https://bafybeieburmv2p3vv2m6ovql5sazzpzdpvetck4bj2ytmltso6cps5qrb4.ipfs.w3s.link/ipfs/bafybeieburmv2p3vv2m6ovql5sazzpzdpvetck4bj2ytmltso6cps5qrb4/baga6ea4seaqkczaqftes2suvjnakntpxwtxutifqp23bl32fz2lcoedqt4ilgca.car,2097524
baga6ea4seaqj7njo75pbt3ddgge5g46wctjvhdf5jkjxojecyzhfiastbzx3weq,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=ea7649a1-6ed5-4f3f-9019-c578c1f4f3b2.car,2097531
baga6ea4seaqjtkg2rpctl35vmpc3lbg7detv7h6ln6jokux3dx565wriaia7cla,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=200688fa-b882-464c-8b8f-c796ed4e3ddb.car,2097531
baga6ea4seaqam5ld33x7bxqiin6iwcsmsvotdwltqloz2c5xis2b672gwnnzwai,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=d5967c9a-27be-4de6-988f-fb32c76cdf3c.car,2097532
baga6ea4seaqdppxefc7twedxdiicmjab4n62nfikw7op2i6tk6pqrtigsqnx6ji,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=d9c55c25-45af-4878-b148-1bf53c5e2a55.car,2097531
baga6ea4seaqiazbkqcuvtc6n3qm553g7kvthxz25u2hlqfu4fvreqjoswrmjopq,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=410e5134-3289-4124-bcc9-4c22d7172dbd.car,2097531
baga6ea4seaqozq7r6fain4uokthe2nfnzjxjcbwut7asrooof6sqndm4b744eoi,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=f01da1af-fb9c-4184-a0af-e9884fb52777.car,2097532
baga6ea4seaqgso32mypbfaifgreremchb7rweoqmgoslkyniigazb4thcqyngdq,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=066b622a-cf0a-424b-849f-4291c7b32296.car,2097532
baga6ea4seaqaaqjtxw7h73lkftfh5scprgjj6kwmvw7ohhodlhzossg5zko5iea,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=cdf1bdac-d3e9-401f-8a3d-abe6e75e5f85.car,2097532
baga6ea4seaqp4z5ojz7pdihmqm2dig5nzlgkvbznb4ornujs2jk2rs74vm6lchy,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=601d750d-2f6b-478d-b73e-1b7bbff07d5a.car,2097531
baga6ea4seaql6hdn7jc25fcdichuw7v2fawvclgfcmmx6thcwawlnzhmctlaabq,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=b6aadfe4-c806-4fe5-933b-0172576b02fb.car,2097531
baga6ea4seaqajqa3q4tcpx4fps5olndmgsj45edibqjxidbsbss5zkj7r2psopa,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=cb43a6d1-847d-425c-89f8-38d898e518ad.car,2097531
baga6ea4seaqlzqef6vnpc6zuk6vmt5lpz7rrlt7wmtyl22kejat5vjeikrzqwfa,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=51fc59b3-bac6-4802-bf87-c977a36f97c3.car,2097532
baga6ea4seaqawqzl5rjket3guxwm5vp6c6i57fxh7xg5c7bmdxkqd2hudtjsika,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=99929448-f8cc-4717-9e13-40ab684754ef.car,2097532
baga6ea4seaqbe324zdvngta3lvk7f3rnu64juposrvzk5j5ohpvfrwftftlccgy,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=1671b62f-648d-460d-8865-7e76c5b93925.car,2097530
baga6ea4seaqpbt67nq3yvwlpjoxomf3qcbts2psatrdd3va5qawphikjq4euigq,4194304,https://data-depot.lighthouse.storage/api/download/download_car?fileId=c806987b-c70e-454d-ba7d-1a0a8567bdbd.car,2097531
